No,SEX,NO_OF_DEPENDENT,MARITAL_STATUS,YRS_IN_PRESENT_JOB,AGE,EDUCATION,YEARS_OF_EXPERIENCE,TOTAL_MONTHLY_INCOME,LOAN_AMOUNT,COMPANY_TYPE,LABEL
41626,1,0,1,5,28,3,5,10000.0,57782,2,1
29102,1,0,2,1,22,0,2,10000.0,47178,2,0
33871,0,0,1,10,44,0,10,30000.0,58395,0,1
13206,1,1,1,2,31,3,2,28000.0,65112,2,0
10853,1,0,2,1,25,0,1,10000.0,39329,2,0
32941,1,0,2,3,27,1,3,12000.0,41061,2,0
4108,1,0,1,4,24,3,4,12000.0,55133,1,1
25086,1,0,2,1,23,1,1,13000.0,51055,2,1
15520,1,3,1,30,57,3,30,8075.0,55494,1,0
27363,1,0,1,14,43,3,14,12000.0,39458,3,0
4061,1,1,1,3,23,0,3,12000.0,50515,4,0
26124,1,0,1,10,31,0,10,15000.0,55977,4,1
298,1,2,1,15,57,1,15,18000.0,40899,1,1
387,1,0,1,10,34,3,10,12000.0,33246,1,0
36793,0,0,2,3,30,1,3,20000.0,60073,4,0
2097,1,1,1,12,29,1,12,15000.0,52815,3,0
10986,1,0,1,3,19,1,6,20000.0,51794,2,0
38382,1,0,1,6,31,1,6,20000.0,53958,4,0
41448,1,0,1,15,47,3,15,34000.0,51794,0,0
5627,1,0,1,2,35,1,2,11400.0,52468,2,0
27576,0,4,2,8,32,1,8,20000.0,48870,2,0
6281,1,2,1,5,32,1,5,21000.0,42876,1,0
21138,1,0,2,3,30,1,3,9000.0,41061,1,0
18490,1,0,2,3,21,1,3,16000.0,52634,2,0
15962,0,4,1,1,28,0,1,10000.0,47910,2,1
7317,1,0,2,2,39,1,2,10200.0,53939,2,1
39446,1,3,1,20,40,0,20,27000.0,38946,0,0
20436,1,2,1,1,32,1,1,12000.0,42483,4,1
2498,1,0,1,8,31,0,8,16000.0,55133,2,0
9733,1,2,1,6,25,3,12,15000.0,61605,2,0
25840,1,0,1,3,29,1,3,33000.0,69131,0,1
37425,1,2,1,4,29,3,4,16000.0,58396,2,0
27565,1,3,1,10,36,3,10,10000.0,36647,0,0
1338,1,0,2,3,23,2,3,12000.0,55777,4,0
30269,0,0,3,4,45,0,4,12000.0,43929,4,0
32476,1,1,1,2,27,0,5,15000.0,38183,2,0
24109,1,2,1,3,24,0,3,12000.0,38016,4,0
27255,1,0,1,5,27,3,5,10000.0,50515,4,0
34043,1,0,1,16,52,3,16,20000.0,53083,0,0
27149,1,0,1,10,30,0,10,12000.0,37946,4,0
13995,1,2,1,3,35,1,3,12000.0,44929,2,0
33155,1,0,2,2,21,1,2,10000.0,36499,2,0
16610,0,0,1,7,36,2,17,21000.0,60809,2,0
34040,0,0,1,5,39,3,5,11000.0,53083,4,0
12440,1,0,1,30,57,0,30,16000.0,47916,0,0
35332,1,3,1,15,52,0,15,67000.0,62652,0,0
19107,1,0,2,3,24,1,3,15000.0,55133,1,0
36922,1,0,1,6,31,1,6,19000.0,53054,0,0
9633,1,0,1,6,23,3,12,16000.0,49906,2,0
31865,1,2,1,1,35,3,11,10500.0,60549,2,0
17537,0,1,1,12,42,1,12,13000.0,52815,0,0
35350,1,1,1,4,27,1,4,25000.0,53054,0,0
30059,1,0,1,5,49,1,5,9500.0,44858,2,1
4916,1,0,1,5,47,1,9,14000.0,43032,2,0
35080,1,0,1,10,44,0,10,12000.0,61642,2,0
15158,1,0,2,5,24,1,5,34936.0,62968,1,0
32132,1,3,1,3,36,0,3,13300.0,37042,2,0
11806,1,0,2,2,27,1,2,14900.0,50515,2,0
3126,1,0,2,1,23,1,1,10000.0,52314,2,0
10552,1,0,2,2,28,3,2,15000.0,50841,4,0
12893,1,0,1,12,44,0,12,10000.0,44730,2,0
11015,1,1,1,5,47,3,10,18000.0,54624,2,0
29423,1,0,2,1,21,0,1,15000.0,56829,0,0
16966,1,0,1,4,41,3,4,13000.0,57843,2,0
28147,1,0,1,10,40,1,20,20000.0,58563,1,0
21487,1,0,2,1,19,0,1,8000.0,47578,2,0
23186,1,0,1,12,37,1,14,20000.0,55133,1,0
26869,1,2,1,2,31,3,2,10000.0,48239,4,0
31167,1,0,1,3,21,1,3,12000.0,51794,2,0
27194,1,0,1,8,37,1,0,38370.0,58828,0,0
9016,1,0,2,1,21,1,1,10000.0,59102,1,0
380,1,2,1,15,26,0,15,18000.0,52468,1,1
7713,1,5,1,8,30,0,0,15000.0,52541,2,0
39772,0,5,1,2,23,2,2,15000.0,50844,1,0
10747,1,0,1,3,41,0,3,12000.0,50729,2,0
9125,1,0,1,5,23,1,5,15000.0,54624,1,1
21669,1,0,2,2,22,1,2,9000.0,64094,2,0
4443,1,0,1,12,59,3,12,12000.0,50515,0,0
30334,1,0,1,9,47,3,0,10000.0,50515,2,1
6095,1,2,1,2,21,3,2,10000.0,52963,3,1
35475,1,0,1,5,45,0,5,12000.0,43032,2,0
41993,0,1,1,10,34,1,10,15000.0,59102,2,0
42676,1,2,1,12,45,1,12,23400.0,52634,0,0
16033,1,3,2,5,29,3,5,9000.0,50729,4,1
15433,1,0,2,3,30,0,3,12000.0,55133,1,1
29920,1,0,1,20,45,3,20,17000.0,46284,0,0
28344,0,3,3,3,42,0,3,16000.0,57136,4,1
30495,1,0,2,1,20,1,1,16000.0,44858,2,0
33054,1,1,1,3,48,1,3,20000.0,51794,0,0
15917,1,0,2,1,21,1,1,8500.0,64337,2,0
41654,1,0,1,26,55,3,26,40000.0,60733,0,0
16132,1,0,1,14,55,0,14,18000.0,61017,1,0
3289,1,0,1,2,25,1,2,12000.0,40899,2,0
19099,1,0,2,2,23,3,2,10000.0,56937,4,1
42352,1,0,1,2,28,1,2,12000.0,43032,2,1
18837,1,1,1,3,25,0,3,12000.0,55133,1,0
19809,1,0,2,2,19,0,2,10000.0,39458,4,0
33222,1,2,1,3,30,1,3,10000.0,52468,4,0
5407,1,0,1,3,31,1,5,16000.0,52815,2,0
3316,1,0,1,2,22,1,2,8000.0,39458,2,0
17812,1,0,2,3,22,1,3,15000.0,60809,2,0
22508,1,2,1,10,31,1,10,6200.0,51794,0,0
19931,1,1,1,3,23,0,3,10000.0,48239,0,0
37136,1,0,2,0,21,1,0,14000.0,51449,4,0
9152,1,3,1,5,43,0,10,10000.0,59102,2,1
5739,1,1,1,2,34,1,2,25000.0,52468,0,1
15705,1,0,2,8,33,1,0,17092.0,58297,0,0
29624,1,2,2,2,22,3,2,9500.0,47006,4,0
42248,1,2,1,20,44,1,20,80000.0,52875,0,0
14131,1,0,2,3,24,1,3,12000.0,53939,2,0
19125,1,2,1,2,27,1,2,10000.0,43032,4,0
12421,1,0,2,4,24,0,4,8500.0,51387,3,0
4459,1,0,1,15,53,1,15,25000.0,45178,0,0
35647,1,0,2,2,19,3,2,7500.0,47622,2,0
21235,1,0,1,7,40,0,7,9000.0,47578,1,0
26207,1,0,1,1,32,0,1,15000.0,44197,2,0
36202,1,1,1,4,47,0,4,11000.0,50572,2,0
8355,1,0,1,15,49,1,15,15000.0,55977,1,0
33013,1,0,2,1,21,0,1,10000.0,53939,2,0
33421,0,0,1,5,39,0,5,10200.0,32763,2,1
30369,1,2,1,6,23,1,6,10000.0,43032,2,0
4705,1,0,1,3,33,0,8,16000.0,50729,2,0
6343,1,0,3,17,47,3,17,35000.0,39514,0,0
15593,1,3,1,32,55,0,32,28000.0,57843,0,0
41413,1,2,1,12,32,0,12,25000.0,50755,4,0
15481,1,0,1,2,29,3,2,12000.0,50729,1,0
29103,1,2,1,22,50,0,22,15000.0,51820,2,0
33247,1,0,2,5,26,1,5,10000.0,48239,2,0
35168,1,5,1,10,24,0,10,18000.0,43032,2,1
22919,1,2,1,10,23,3,10,10000.0,50729,2,1
26429,1,2,1,5,27,0,5,12000.0,35166,1,0
27858,1,0,1,3,39,0,3,19000.0,52815,2,0
2210,1,1,1,18,38,1,18,16000.0,59102,0,0
22971,1,0,2,0,19,1,0,16500.0,53054,4,0
9954,1,0,1,2,30,3,2,12000.0,54624,4,0
7792,1,0,1,3,21,1,3,16000.0,50765,4,0
18209,1,0,1,10,33,1,10,12000.0,61605,3,1
42207,1,2,1,1,26,1,1,12000.0,52634,2,0
15363,1,2,1,9,28,3,0,25000.0,51332,1,0
26257,0,0,2,2,22,0,2,13500.0,63303,2,0
23873,1,0,2,4,20,3,4,10000.0,52875,4,0
12477,1,0,1,19,55,3,19,22000.0,48430,1,0
41246,1,0,1,5,28,1,5,12000.0,57843,4,0
27393,1,2,1,12,36,1,12,21000.0,47910,2,0
34398,1,0,1,15,44,1,15,12000.0,49205,2,1
6058,1,2,1,4,32,3,4,9000.0,48354,3,0
12377,0,2,1,2,31,3,2,9000.0,40194,3,1
38439,1,0,1,6,52,0,12,18000.0,59601,0,0
3661,1,0,1,6,33,0,6,10000.0,43630,0,0
20414,1,0,1,5,31,0,10,14174.0,45107,0,0
24641,1,0,2,6,22,1,12,8000.0,50729,2,0
14832,1,0,1,2,25,1,2,12000.0,60073,2,0
21422,1,1,1,5,21,1,5,12000.0,47214,4,0
22761,1,0,1,5,36,0,5,25000.0,53562,4,0
3998,1,1,1,2,24,1,2,10000.0,52468,2,0
6219,1,1,1,4,23,0,4,14000.0,49205,2,0
9974,1,0,1,3,32,1,3,15000.0,50729,2,1
36178,1,0,1,5,38,0,5,15000.0,56197,2,1
14936,1,0,1,18,50,3,18,29000.0,51332,0,1
25549,1,0,1,7,28,0,7,15000.0,60809,2,1
5814,1,2,1,3,34,0,3,12000.0,49947,4,0
12157,0,0,1,10,50,1,20,30000.0,52468,2,0
15625,1,0,1,4,28,0,4,10000.0,47910,2,0
28961,1,3,1,1,41,1,1,15000.0,54624,2,0
39858,1,0,1,3,48,3,3,10000.0,59102,2,0
28639,1,0,1,5,32,0,5,10000.0,43032,2,0
30580,1,3,1,1,24,1,1,12000.0,50515,2,0
7542,1,0,1,5,33,0,5,12000.0,48080,1,0
40594,1,0,1,2,26,1,2,20000.0,51332,2,0
35002,1,0,1,15,50,1,15,22000.0,48870,0,1
9056,1,0,1,2,31,1,2,11800.0,58715,2,0
12668,1,0,1,10,32,3,10,10000.0,47049,1,0
2697,1,0,1,2,27,0,2,10000.0,37946,3,0
