No,SEX,NO_OF_DEPENDENT,MARITAL_STATUS,YRS_IN_PRESENT_JOB,AGE,EDUCATION,YEARS_OF_EXPERIENCE,TOTAL_MONTHLY_INCOME,LOAN_AMOUNT,COMPANY_TYPE,LABEL
38237,0,2,1,5,36,1,5,12000.0,54624,4,1
41651,1,2,1,4,31,0,4,10000.0,57843,2,0
14945,1,2,1,20,47,2,20,30000.0,53939,0,1
231,1,0,1,5,33,0,5,15000.0,50755,2,0
37393,1,0,2,2,21,3,2,12000.0,44301,2,0
38087,1,0,1,14,31,3,14,32000.0,53562,1,0
31015,1,0,2,5,30,0,5,15000.0,51332,2,0
32406,1,2,1,2,54,0,5,10000.0,47138,2,0
24497,1,1,2,1,23,1,1,10000.0,43032,2,0
17944,0,0,1,1,29,1,1,12000.0,54624,4,0
13455,1,2,1,2,39,1,4,22000.0,43032,4,0
22664,1,0,2,1,19,0,1,8000.0,51748,2,1
9861,1,2,1,4,44,1,4,12000.0,52815,2,0
2385,1,2,1,5,46,3,5,18500.0,61109,2,0
1631,1,2,1,2,31,1,2,30000.0,55064,2,0
6882,1,0,1,8,43,1,0,45000.0,38895,0,1
14100,1,3,1,2,24,1,2,18000.0,45492,1,0
28257,1,4,1,3,36,1,3,19800.0,53562,4,1
38024,1,2,2,5,29,3,5,25000.0,50571,1,0
2528,1,4,1,30,55,3,30,43485.0,55766,0,0
40413,1,0,1,3,29,1,3,16000.0,41279,2,0
42711,1,0,2,2,25,0,2,8500.0,34958,0,1
33705,1,2,1,5,42,3,5,12000.0,51254,1,0
29137,1,4,1,8,29,0,8,6000.0,45107,0,1
32560,1,2,1,2,31,1,7,35000.0,60852,2,0
10337,1,0,1,9,30,0,0,10000.0,48983,2,0
7449,1,0,1,2,28,1,2,20000.0,55133,1,0
22690,0,0,1,5,45,1,5,14000.0,53054,2,0
35549,1,0,1,3,30,1,3,15000.0,54624,3,0
6730,1,0,1,5,39,1,5,27000.0,55133,2,0
